input_str,input_list,title,key,label
"Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Gm7, Cm7, B7, Bb7, Eb^7, Gbo7, Fm7, Bb7","['D7', 'G^7', 'F#m7', 'Bm', 'Em7', 'Bm']",Let's Call The Whole Thing Off,E-,Eb^7
"Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Gm7, Cm7, B7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7","['Cm7', 'Bbm7', 'Dbsus', 'Ebsus', 'Fsus', 'Gsus', 'Cm7', 'Bbm7', 'Eb7', 'Ab^7', 'D%7']",Let's Call The Whole Thing Off,E-,Bb7
"Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Gm7, Cm7, B7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7","['Eb7', 'Ab7', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Eb7', 'Eb7', 'Bb7', 'Ab7', 'Eb7']",Let's Call The Whole Thing Off,E-,Ab^7
"Eb7, Ab^7, Abm6, Gm7, Cm7, B7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Fm7","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Ab7', 'Bb7', 'Bb7', 'F7', 'F7', 'Bb7']",Let's Call The Whole Thing Off,E-,Bb7
"Gm7, Cm7, B7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Fm7, Bb7, Eb6, A%7","['Ab7', 'Ab7', 'Ab7', 'Ab7', 'Db7', 'Db7', 'Ab7', 'Ab7', 'Bbm7', 'Eb7', 'Ab7']",Let's Call The Whole Thing Off,E-,D7
"Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Fm7, Bb7, Eb6, A%7, D7, Gm7, C7","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'F7', 'Bb7']",Let's Call The Whole Thing Off,E-,Fm7
"Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Fm7, Bb7, Eb6, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7","['C7', 'C7', 'C7', 'C7', 'F7', 'F7', 'C7', 'C7', 'G7', 'G7', 'C7']",Let's Call The Whole Thing Off,E-,A%7
"Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Fm7, Bb7, Eb6, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, A%7, D7, Gm7","['Ab7', 'Ab7', 'Ab7', 'Ab7', 'Db7', 'Db7', 'Ab7', 'Ab7', 'D7', 'Db7', 'Ab7']",Let's Call The Whole Thing Off,E-,C7
"Bbm7, Eb7, Ab^7, Abm6, Fm7, Bb7, Eb6, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, A%7, D7, Gm7, C7, Fm7, Bbsus","['Fsus', 'Bbsus', 'Fsus', 'Fsus', 'Bbsus', 'Bbsus', 'Fsus', 'Fsus', 'Csus', 'Bbsus', 'Fsus']",Let's Call The Whole Thing Off,E-,Bb7
"Abm6, Fm7, Bb7, Eb6, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, Eb^7, Gbo7","['C#m7', 'C#m7', 'C#m7', 'C#m7', 'F#m7', 'F#m7', 'C#m7', 'C#m7', 'A7', 'G#7', 'C#m7']",Let's Call The Whole Thing Off,E-,Fm7
